ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
p-apcres.	9774	0.0013%	706	0.00009%	10480
kala,tursk	217	0.0000%	704	0.00009%	921
b-rethe	15782	0.0020%	703	0.00009%	16485
s-norklot	28704	0.0037%	700	0.00009%	29404
du-alb	3109	0.0004%	700	0.00009%	3809
pt-krea-cl	1834	0.0002%	699	0.00009%	2533
-hbvnh	127	0.0000%	699	0.00009%	826
s-testab	133	0.0000%	697	0.00009%	830
s-ruokae	1374	0.0002%	696	0.00009%	2070
s-äitseul*	390	0.0001%	694	0.00009%	1084
ab-o2hb	8708	0.0011%	692	0.00009%	9400
as-l/liusk	612	0.0001%	688	0.00009%	1300
-pvlnho	110	0.0000%	688	0.00009%	798
ab-to2c	8559	0.0011%	687	0.00009%	9246
as-l/yksit	612	0.0001%	687	0.00009%	1299
p-hivnhre	104	0.0000%	687	0.00009%	791
u-eddp-o	215	0.0000%	683	0.00009%	898
s-stpn19f	1069	0.0001%	681	0.00009%	1750
l-lymfos	162962	0.0210%	680	0.00009%	163642
b-leuk-vt	8359	0.0011%	679	0.00009%	9038
s-tymidk	7690	0.0010%	679	0.00009%	8369
-leginho	149	0.0000%	679	0.00009%	828
se-amyl	3842	0.0005%	678	0.00009%	4520
s-probnp	4484	0.0006%	676	0.00009%	5160
s-stpn23f	1073	0.0001%	675	0.00009%	1748
l-eosin	145398	0.0188%	674	0.00009%	146072
gamma-glob	11284	0.0015%	674	0.00009%	11958
-verkoh	300	0.0000%	674	0.00009%	974
s-hasp�he	2074	0.0003%	673	0.00009%	2747
p-vwf-akt	11927	0.0015%	669	0.00009%	12596
s-hav-abg	316	0.0000%	669	0.00009%	985
pd-neut+eo	500	0.0001%	667	0.00009%	1167
c-reaktiivinenproteiini	4151	0.0005%	665	0.00009%	4816
s-psav/t	2786	0.0004%	664	0.00009%	3450
pt-sep	641	0.0001%	663	0.00009%	1304
pt-utp-2	293	0.0000%	663	0.00009%	956
sk-kromos	141	0.0000%	662	0.00009%	803
s-osmol	19870	0.0026%	660	0.00009%	20530
b-myogl-v	1508	0.0002%	659	0.00009%	2167
s-latekse	839	0.0001%	657	0.00008%	1496
s-salis	691	0.0001%	657	0.00008%	1348
u-gcnho*	461	0.0001%	655	0.00008%	1116
keliakiatutkimus,suppea	158	0.0000%	652	0.00008%	810
li-aitneu	271	0.0000%	651	0.00008%	922
s-stpn7f	1100	0.0001%	649	0.00008%	1749
s-inbabcf	665	0.0001%	648	0.00008%	1313
-sienlm	104	0.0000%	646	0.00008%	750
cu-igg	387	0.0000%	639	0.00008%	1026
sy-sameus	4784	0.0006%	635	0.00008%	5419
fev1	1529	0.0002%	635	0.00008%	2164
s-ami	826	0.0001%	635	0.00008%	1461
s-stpn18c	1117	0.0001%	633	0.00008%	1750
u-cakre	582	0.0001%	633	0.00008%	1215
l-myel	55643	0.0072%	632	0.00008%	56275
fvc	1531	0.0002%	631	0.00008%	2162
u-solut,muut	619	0.0001%	631	0.00008%	1250
fev%	815	0.0001%	630	0.00008%	1445
du-metnef	6729	0.0009%	628	0.00008%	7357
d-dimer	1521	0.0002%	625	0.00008%	2146
u-etgct	117	0.0000%	625	0.00008%	742
ts-makon-d	148	0.0000%	623	0.00008%	771
p-reninm	17663	0.0023%	622	0.00008%	18285
p-mypa	3078	0.0004%	621	0.00008%	3699
ab-lämpöti	23876	0.0031%	618	0.00008%	24494
s-gen	1454	0.0002%	618	0.00008%	2072
b-mxa	1013	0.0001%	617	0.00008%	1630
-diagn..	160	0.0000%	617	0.00008%	777
cb-bil-mi	20681	0.0027%	616	0.00008%	21297
s-leuab2	189	0.0000%	615	0.00008%	804
p-fidd-vt	6189	0.0008%	612	0.00008%	6801
am-unäkö	136	0.0000%	611	0.00008%	747
suolis-is	767	0.0001%	606	0.00008%	1373
b-edta5/4	111	0.0000%	604	0.00008%	715
u-etsct	115	0.0000%	603	0.00008%	718
fb-b1-vit	10919	0.0014%	602	0.00008%	11521
f-transf3	271	0.0000%	599	0.00008%	870
p-lakveka	32330	0.0042%	597	0.00008%	32927
fs-kol-hdl	1138106	0.1469%	594	0.00008%	1138700
fs-ca++7.4	89263	0.0115%	594	0.00008%	89857
cb-chb	10117	0.0013%	593	0.00008%	10710
crp-vt	1763	0.0002%	593	0.00008%	2356
u-etg	140	0.0000%	593	0.00008%	733
s-ruok5ry	1344	0.0002%	591	0.00008%	1935
s-tomaate	860	0.0001%	591	0.00008%	1451
li-baktnho	152	0.0000%	591	0.00008%	743
b-vara	123	0.0000%	590	0.00008%	713
s-lohie	1976	0.0003%	589	0.00008%	2565
li-neut	1573	0.0002%	589	0.00008%	2162
cp-ohbutpo	1288	0.0002%	589	0.00008%	1877
s-k	525613	0.0678%	588	0.00008%	526201
b-hbf-fc	201	0.0000%	587	0.00008%	788
globuliini	2513	0.0003%	584	0.00008%	3097
s-maapäek	401	0.0001%	582	0.00008%	983
vb-he-tase,vb-hb	879	0.0001%	581	0.00007%	1460
oma-hb-a1c	869	0.0001%	581	0.00007%	1450
inkub.1vrk	163	0.0000%	580	0.00007%	743
-staunho	170	0.0000%	579	0.00007%	749
sy-muut	116	0.0000%	579	0.00007%	695
s-eläiner	1044	0.0001%	577	0.00007%	1621
fs-cga	12597	0.0016%	573	0.00007%	13170
p-fsh	30302	0.0039%	569	0.00007%	30871
fvc/brdil	780	0.0001%	569	0.00007%	1349
s-he4	31445	0.0041%	568	0.00007%	32013
fev1/brdil	781	0.0001%	568	0.00007%	1349
fev%/brdil	781	0.0001%	568	0.00007%	1349
maito	661	0.0001%	568	0.00007%	1229
-lisäma1	429	0.0001%	568	0.00007%	997
l-prom	40067	0.0052%	564	0.00007%	40631
sensori	1570	0.0002%	564	0.00007%	2134
s-nse	29207	0.0038%	563	0.00007%	29770
ts-trinho	250	0.0000%	562	0.00007%	812
u-pi	4556	0.0006%	561	0.00007%	5117
-troptqpik	132	0.0000%	561	0.00007%	693
s-viseabg	645	0.0001%	560	0.00007%	1205
e-rethe	27192	0.0035%	559	0.00007%	27751
s-ebvnabg	538	0.0001%	558	0.00007%	1096
l-meta	38456	0.0050%	557	0.00007%	39013
cd4	10254	0.0013%	557	0.00007%	10811
ab-bio-0	150	0.0000%	556	0.00007%	706
p-psamob	1895	0.0002%	554	0.00007%	2449
pf-l/liusk	1126	0.0001%	554	0.00007%	1680
pf-l/yksit	1126	0.0001%	554	0.00007%	1680
erik.näyte	995	0.0001%	553	0.00007%	1548
p-gluveka	32313	0.0042%	552	0.00007%	32865
p-pc	20897	0.0027%	551	0.00007%	21448
cd4/cd8	9743	0.0013%	551	0.00007%	10294
cp-na	11390	0.0015%	550	0.00007%	11940
nt-	2794	0.0004%	549	0.00007%	3343
li-lymf	652	0.0001%	549	0.00007%	1201
s-rsvabcf	767	0.0001%	548	0.00007%	1315
s-shbg	79421	0.0102%	547	0.00007%	79968
s-hivab	680	0.0001%	546	0.00007%	1226
u-hcg	421	0.0001%	546	0.00007%	967
u-om.p.	2298	0.0003%	542	0.00007%	2840
soijapapu	566	0.0001%	540	0.00007%	1106
k-pika	24274	0.0031%	538	0.00007%	24812
s-b12t-c2	322	0.0000%	538	0.00007%	860
inkub.2vrk	183	0.0000%	538	0.00007%	721
ks-viabil	109	0.0000%	538	0.00007%	647
igepujo	156	0.0000%	537	0.00007%	693
astmatesti	742	0.0001%	536	0.00007%	1278
u-pbg-o	119	0.0000%	535	0.00007%	654
b-crp-tth	839	0.0001%	534	0.00007%	1373
s-mg-ion	12808	0.0017%	529	0.00007%	13337
s-ihot-ab	207	0.0000%	528	0.00007%	735
fs-pp	2562	0.0003%	526	0.00007%	3088
na-pika	24213	0.0031%	525	0.00007%	24738
du-normet	6860	0.0009%	525	0.00007%	7385
s-vehnäek	239	0.0000%	524	0.00007%	763
b-lmark	133	0.0000%	524	0.00007%	657
cp-ca-ion	11222	0.0014%	519	0.00007%	11741
as-prot	3377	0.0004%	518	0.00007%	3895
fp-kol-ind	37749	0.0049%	517	0.00007%	38266
pika-crp-o	10102	0.0013%	517	0.00007%	10619
pd-lymf+mo	281	0.0000%	517	0.00007%	798
vb-lämpöti	10293	0.0013%	516	0.00007%	10809
b-heparab	218	0.0000%	516	0.00007%	734
-opitulos	126	0.0000%	516	0.00007%	642
bm-soluvi	101	0.0000%	516	0.00007%	617
b-tcr-d	136	0.0000%	514	0.00007%	650
s-caion7.4	34033	0.0044%	513	0.00007%	34546
e-aborh*	427	0.0001%	512	0.00007%	939
pt-ttlaite	163	0.0000%	509	0.00007%	672
-cantulos	133	0.0000%	509	0.00007%	642
diabetes	1626	0.0002%	508	0.00007%	2134
as-leuk	9752	0.0013%	507	0.00007%	10259
s-leuab1	299	0.0000%	506	0.00007%	805
p-fidd-lb	12138	0.0016%	504	0.00007%	12642
p-tt-inr-o	502	0.0001%	504	0.00007%	1006
c-reakt.prot,oma	408	0.0001%	502	0.00006%	910
s-parvnho	110	0.0000%	502	0.00006%	612
b-lääk-hu	139	0.0000%	501	0.00006%	640
s-caspek	496	0.0001%	500	0.00006%	996
b-cd3	18336	0.0024%	499	0.00006%	18835
b-fidd-o	5623	0.0007%	498	0.00006%	6121
fs-krea	1049601	0.1355%	496	0.00006%	1050097
u-mygenho	318	0.0000%	496	0.00006%	814
s-brucab	220	0.0000%	496	0.00006%	716
rf	175	0.0000%	496	0.00006%	671
du-krea	3642	0.0005%	495	0.00006%	4137
b-hla2frk	106	0.0000%	495	0.00006%	601
pt-lakt-r1	135	0.0000%	493	0.00006%	628
s-antitry	18833	0.0024%	492	0.00006%	19325
s-clteab	1842	0.0002%	491	0.00006%	2333
du-tilav	10028	0.0013%	488	0.00006%	10516
ly-tbspota	3317	0.0004%	487	0.00006%	3804
leukpika	3079	0.0004%	487	0.00006%	3566
s-maitoek	271	0.0000%	487	0.00006%	758
s-hcgbv/d	47884	0.0062%	486	0.00006%	48370
s-ruisjae	1275	0.0002%	486	0.00006%	1761
ab-k	8705	0.0011%	483	0.00006%	9188
s-soijaek	149	0.0000%	478	0.00006%	627
s-testo-v	7179	0.0009%	477	0.00006%	7656
ab-hkr	8451	0.0011%	475	0.00006%	8926
s-mi-2	170	0.0000%	475	0.00006%	645
fb-folaat	18271	0.0024%	473	0.00006%	18744
p-urea-dj	13946	0.0018%	473	0.00006%	14419
b-hba1c-p	12274	0.0016%	470	0.00006%	12744
b-tacroms	33124	0.0043%	469	0.00006%	33593
s-rcora1e	2729	0.0004%	468	0.00006%	3197
u-inh-o	135	0.0000%	466	0.00006%	601
krea-pika	23444	0.0030%	464	0.00006%	23908
s-munavek	301	0.0000%	464	0.00006%	765
pf-ace	976	0.0001%	462	0.00006%	1438
s-magab	154	0.0000%	462	0.00006%	616
u-intp	7744	0.0010%	460	0.00006%	8204
ab-ph(t)	17937	0.0023%	459	0.00006%	18396
maapähkinä	1095	0.0001%	457	0.00006%	1552
pt-paino	6911	0.0009%	456	0.00006%	7367
b-hbfvol	214	0.0000%	455	0.00006%	669
prostataspesifinenantigeeni,vapaa	1345	0.0002%	453	0.00006%	1798
s-achrab	248	0.0000%	452	0.00006%	700
b-hhb	5393	0.0007%	451	0.00006%	5844
s-maissie	508	0.0001%	451	0.00006%	959
s-adioni	7389	0.0010%	450	0.00006%	7839
s-munakee	733	0.0001%	450	0.00006%	1183
c-reaktiivinenproteiini,vieritutkimusnordlab	578	0.0001%	449	0.00006%	1027
b-hb-f-vr	213	0.0000%	449	0.00006%	662
ly-cd4/cd8	8144	0.0011%	446	0.00006%	8590
ana	114	0.0000%	443	0.00006%	557
p-ph	21034	0.0027%	441	0.00006%	21475
cp-k	11500	0.0015%	441	0.00006%	11941
s-afsuoli	545	0.0001%	441	0.00006%	986
s-enaseul	401	0.0001%	441	0.00006%	842
b-jcv	100	0.0000%	441	0.00006%	541
s-altalte	196	0.0000%	440	0.00006%	636
b-k-v	616	0.0001%	439	0.00006%	1055
p-c1qabg	180	0.0000%	437	0.00006%	617
du-mg	1855	0.0002%	436	0.00006%	2291
s-extra	355	0.0000%	436	0.00006%	791
peak	255	0.0000%	436	0.00006%	691
u-al	1081	0.0001%	435	0.00006%	1516
s-borabgv	540	0.0001%	435	0.00006%	975
s-gliadie	2282	0.0003%	434	0.00006%	2716
cb-gluk-v	977	0.0001%	432	0.00006%	1409
b-inr-pik	33638	0.0043%	431	0.00006%	34069
du-cu	699	0.0001%	431	0.00006%	1130
s-kaurjae	1378	0.0002%	429	0.00006%	1807
-amftulos	213	0.0000%	429	0.00006%	642
p-fv	17311	0.0022%	428	0.00006%	17739
ab-be-vt	384	0.0000%	427	0.00006%	811
s-amokige	352	0.0000%	427	0.00006%	779
u-naftol	352	0.0000%	426	0.00005%	778
as-neut+eo	562	0.0001%	425	0.00005%	987
s-amokse	233	0.0000%	425	0.00005%	658
muut	60911	0.0079%	424	0.00005%	61335
li-eos	1087	0.0001%	424	0.00005%	1511
li-leukmuu	535	0.0001%	424	0.00005%	959
p-fidd-hy	1321	0.0002%	422	0.00005%	1743
pf-c4	821	0.0001%	422	0.00005%	1243
bla	21326	0.0028%	421	0.00005%	21747
p-krea-vt	17011	0.0022%	420	0.00005%	17431
li-monos	1257	0.0002%	419	0.00005%	1676
as-liuskat	381	0.0000%	418	0.00005%	799
vekapak1	352231	0.0455%	416	0.00005%	352647
u-hb	207	0.0000%	416	0.00005%	623
s-rib-pab	188	0.0000%	416	0.00005%	604
sy-pmn	2305	0.0003%	414	0.00005%	2719
b-6-tgn	1961	0.0003%	414	0.00005%	2375
ab-pco2(t)	17956	0.0023%	413	0.00005%	18369
ub-leuk	334	0.0000%	412	0.00005%	746
b-edtaproj	216	0.0000%	411	0.00005%	627
enaab	144	0.0000%	411	0.00005%	555
u-k	13722	0.0018%	410	0.00005%	14132
b-panel-s	455	0.0001%	410	0.00005%	865
s-paroabg	377	0.0000%	410	0.00005%	787
prom	32705	0.0042%	408	0.00005%	33113
s-ohrajae	1181	0.0002%	408	0.00005%	1589
alkopuhal	167	0.0000%	408	0.00005%	575
ghb-a1c-pi	127	0.0000%	408	0.00005%	535
c-reaktiivinenproteiini-pika	555	0.0001%	407	0.00005%	962
s-ifx	4093	0.0005%	403	0.00005%	4496
s-cora1e	369	0.0000%	403	0.00005%	772
ab-chb	19663	0.0025%	401	0.00005%	20064
ex-neut	395	0.0001%	401	0.00005%	796
l-blasti	145	0.0000%	401	0.00005%	546
s-ecp	15844	0.0020%	400	0.00005%	16244
s-piiinp	7165	0.0009%	400	0.00005%	7565
sy-ly	4884	0.0006%	400	0.00005%	5284
sy-laktaat	602	0.0001%	400	0.00005%	1002
pt-ekg-fas	500	0.0001%	399	0.00005%	899
p-c1inhbk	5663	0.0007%	397	0.00005%	6060
se-bil	1611	0.0002%	397	0.00005%	2008
bnppika	249	0.0000%	397	0.00005%	646
du-pi	1706	0.0002%	395	0.00005%	2101
s-ana-ab	110	0.0000%	395	0.00005%	505
ua-hco3-st	37901	0.0049%	394	0.00005%	38295
ub-eryt	333	0.0000%	393	0.00005%	726
crpvieritesti	515	0.0001%	392	0.00005%	907
p-tt-inrqc	4360	0.0006%	391	0.00005%	4751
s-heiner	253	0.0000%	391	0.00005%	644
b-cd19	18341	0.0024%	390	0.00005%	18731
b-cd8	18337	0.0024%	389	0.00005%	18726
b-cd4	18340	0.0024%	387	0.00005%	18727
s-kaniepe	399	0.0001%	387	0.00005%	786
kt/v	4289	0.0006%	386	0.00005%	4675
p-laktaat	123379	0.0159%	385	0.00005%	123764
ub-trom	343	0.0000%	384	0.00005%	727
li-aitpara	157	0.0000%	384	0.00005%	541
s-cob5abg	926	0.0001%	382	0.00005%	1308
ub-hb	358	0.0000%	382	0.00005%	740
s-koop�he	250	0.0000%	382	0.00005%	632
ps-stranho	235	0.0000%	382	0.00005%	617
pt-apri	3138	0.0004%	381	0.00005%	3519
ikäryhmä	2397	0.0003%	381	0.00005%	2778
sy-liuskat	1279	0.0002%	381	0.00005%	1660
ub-hkr	345	0.0000%	381	0.00005%	726
s-vpenige	292	0.0000%	381	0.00005%	673
di-solut	1449	0.0002%	380	0.00005%	1829
pf-c3	848	0.0001%	380	0.00005%	1228
s-tattare	395	0.0001%	380	0.00005%	775
s-tygl-ab	238	0.0000%	380	0.00005%	618
p-b12-vit	188056	0.0243%	379	0.00005%	188435
s-mypn-abm	155	0.0000%	379	0.00005%	534
ue-mch	346	0.0000%	378	0.00005%	724
ue-mchc	346	0.0000%	378	0.00005%	724
ue-mcv	345	0.0000%	378	0.00005%	723
b-tni	133	0.0000%	378	0.00005%	511
s-pinfabcf	932	0.0001%	377	0.00005%	1309
s-myplabg	608	0.0001%	376	0.00005%	984
u-amyl	17456	0.0023%	375	0.00005%	17831
s-leppäe	1783	0.0002%	375	0.00005%	2158
b-tt-inrv	14995	0.0019%	373	0.00005%	15368
s-fenyt	9498	0.0012%	372	0.00005%	9870
s-statrae	373	0.0000%	372	0.00005%	745
s-riisie	356	0.0000%	372	0.00005%	728
s-lamotri	8027	0.0010%	370	0.00005%	8397
s-caspähe	5683	0.0007%	369	0.00005%	6052
b-glu-liu	119	0.0000%	369	0.00005%	488
l-baso(a)	195696	0.0253%	368	0.00005%	196064
virtsam.	11298	0.0015%	368	0.00005%	11666
s-aspvere	512	0.0001%	366	0.00005%	878
p-ps	8394	0.0011%	365	0.00005%	8759
s-mehmyre	907	0.0001%	365	0.00005%	1272
p-fviiiab	262	0.0000%	364	0.00005%	626
s-normet	21489	0.0028%	363	0.00005%	21852
myel	32814	0.0042%	362	0.00005%	33176
pika-gluk	28800	0.0037%	362	0.00005%	29162
kissaige	113	0.0000%	362	0.00005%	475
s-epo	22059	0.0028%	361	0.00005%	22420
fp-rf	178	0.0000%	361	0.00005%	539
s-afossuo	515	0.0001%	360	0.00005%	875
cb-o2-sis	12601	0.0016%	359	0.00005%	12960
s-insuaab	399	0.0001%	359	0.00005%	758
b-cd16/56	8066	0.0010%	358	0.00005%	8424
s-ck-bb	505	0.0001%	358	0.00005%	863
ab-temp	3582	0.0005%	357	0.00005%	3939
p-fviiire	1174	0.0002%	357	0.00005%	1531
s-ebvabg	29344	0.0038%	356	0.00005%	29700
p-hcvnhty	1183	0.0002%	356	0.00005%	1539
s-ebvabg	567	0.0001%	356	0.00005%	923
metam	18379	0.0024%	355	0.00005%	18734
s-viseabm	1046	0.0001%	355	0.00005%	1401
s-ldestre	561	0.0001%	355	0.00005%	916
u-pikre	338	0.0000%	355	0.00005%	693
s-thevule	169	0.0000%	355	0.00005%	524
hdl/kol	304958	0.0394%	354	0.00005%	305312
ly-tbspppd	3306	0.0004%	354	0.00005%	3660
s-stpn12f	243	0.0000%	354	0.00005%	597
s-biol	109	0.0000%	354	0.00005%	463
pf-laktteh	1679	0.0002%	353	0.00005%	2032
s-asiroe	680	0.0001%	353	0.00005%	1033
u-mapga	474	0.0001%	353	0.00005%	827
ab-ahco3vt	447	0.0001%	353	0.00005%	800
s-gpenige	207	0.0000%	352	0.00005%	559
s-heliabg	204	0.0000%	352	0.00005%	556
p-ca12-5	63405	0.0082%	351	0.00005%	63756
ly-cd19	8067	0.0010%	351	0.00005%	8418
ly-cd16/56	8064	0.0010%	351	0.00005%	8415
s-fusmone	429	0.0001%	351	0.00005%	780
koiraige	119	0.0000%	350	0.00005%	469
p-afxariv	983	0.0001%	349	0.00005%	1332
keliakiaseulonta	243	0.0000%	349	0.00005%	592
ly-cd3	8076	0.0010%	348	0.00004%	8424
ly-cd8	8074	0.0010%	348	0.00004%	8422
fp-aldos	4329	0.0006%	348	0.00004%	4677
ly-cd4	8077	0.0010%	347	0.00004%	8424
s-seessie	183	0.0000%	347	0.00004%	530
s-vzvabm	3475	0.0004%	346	0.00004%	3821
p-urea-jd	1598	0.0002%	346	0.00004%	1944
b-geneseq	344	0.0000%	343	0.00004%	687
s-vpene	217	0.0000%	343	0.00004%	560
ly-tbspotb	3318	0.0004%	342	0.00004%	3660
b-ntprobnp	4944	0.0006%	341	0.00004%	5285
s-urtikar	110	0.0000%	341	0.00004%	451
du-uraat	861	0.0001%	340	0.00004%	1201
s-parvavi	580	0.0001%	340	0.00004%	920
b-hlatrb	132	0.0000%	340	0.00004%	472
p-urea-ed	1687	0.0002%	339	0.00004%	2026
bm-bpvalm	115	0.0000%	339	0.00004%	454
l-eos(a)	195773	0.0253%	338	0.00004%	196111
koivuige	127	0.0000%	338	0.00004%	465
cp-laktaat	11044	0.0014%	337	0.00004%	11381
ab-gluk	12154	0.0016%	336	0.00004%	12490
ly-cd4-t	10794	0.0014%	336	0.00004%	11130
s-17hprog	6322	0.0008%	335	0.00004%	6657
tnlpika	779	0.0001%	335	0.00004%	1114
p-ohbut	634	0.0001%	335	0.00004%	969
ab-ph-vt	516	0.0001%	335	0.00004%	851
s-hivab+tod	313	0.0000%	334	0.00004%	647
s-infaabg	1783	0.0002%	332	0.00004%	2115
pt-ureaind	1572	0.0002%	332	0.00004%	1904
li-laktteh	1550	0.0002%	332	0.00004%	1882
s-katkare	831	0.0001%	332	0.00004%	1163
b-6-me-mp	1602	0.0002%	331	0.00004%	1933
timoteiige	134	0.0000%	331	0.00004%	465
p-inr-pika	21240	0.0027%	330	0.00004%	21570
vb-hkr-vt	261	0.0000%	330	0.00004%	591
p-posturea	3167	0.0004%	329	0.00004%	3496
p-tni.	1828	0.0002%	329	0.00004%	2157
s-aurpule	176	0.0000%	329	0.00004%	505
p-na-vt	17681	0.0023%	328	0.00004%	18009
bl-solut	1531	0.0002%	327	0.00004%	1858
-bentulos	315	0.0000%	327	0.00004%	642
p-vwf-ag	8196	0.0011%	326	0.00004%	8522
s-omenae	1059	0.0001%	325	0.00004%	1384
pt-taksim1	418	0.0001%	325	0.00004%	743
b-hg	336	0.0000%	325	0.00004%	661
b-kllfish	120	0.0000%	325	0.00004%	445
s-adalimu	6790	0.0009%	324	0.00004%	7114
inrpika	3212	0.0004%	324	0.00004%	3536
s-hasspäe	6777	0.0009%	322	0.00004%	7099
p-aboabg	128	0.0000%	321	0.00004%	449
s-zn	2855	0.0004%	320	0.00004%	3175
arseeni,epäorgaaninen	910	0.0001%	320	0.00004%	1230
ca++/ph7.4	75025	0.0097%	319	0.00004%	75344
s-parapäe	4392	0.0006%	319	0.00004%	4711
-amyl	7292	0.0009%	316	0.00004%	7608
s-rapim1e	657	0.0001%	314	0.00004%	971
s-tonnike	547	0.0001%	314	0.00004%	861
s-adenabg	1312	0.0002%	312	0.00004%	1624
s-d2-25	557	0.0001%	312	0.00004%	869
b-trom-s	1779	0.0002%	311	0.00004%	2090
pt-utp-3	107	0.0000%	311	0.00004%	418
vb-shco3	122029	0.0157%	309	0.00004%	122338
b-everoms	1413	0.0002%	308	0.00004%	1721
p-b12-bc	575	0.0001%	307	0.00004%	882
p-nh4-ion	6164	0.0008%	306	0.00004%	6470
s-osacdtr	14079	0.0018%	305	0.00004%	14384
b-ca++-v	538	0.0001%	305	0.00004%	843
c6-indeksi	5879	0.0008%	304	0.00004%	6183
li-igg/alb	5312	0.0007%	304	0.00004%	5616
fs-a-vit	10200	0.0013%	301	0.00004%	10501
p-c-pept	4329	0.0006%	300	0.00004%	4629
f-campjvi	247	0.0000%	300	0.00004%	547
s-karmese	148	0.0000%	300	0.00004%	448
s-codiab	1401	0.0002%	299	0.00004%	1700
s-fibrilla	307	0.0000%	299	0.00004%	606
bm-myelmut	402	0.0001%	298	0.00004%	700
s-acrkile	396	0.0001%	298	0.00004%	694
s-pinp	8448	0.0011%	295	0.00004%	8743
s-ampmyre	1242	0.0002%	295	0.00004%	1537
s-pm-scl	353	0.0000%	292	0.00004%	645
s-rcor14e	323	0.0000%	292	0.00004%	615
s-5hiaa	16724	0.0022%	291	0.00004%	17015
p-aldos	4615	0.0006%	291	0.00004%	4906
p-zn	8843	0.0011%	289	0.00004%	9132
ab-po2(t)	18056	0.0023%	288	0.00004%	18344
p-inrpika	13414	0.0017%	288	0.00004%	13702
b-pyruv	3541	0.0005%	287	0.00004%	3828
työkyky2	1650	0.0002%	287	0.00004%	1937
b-ohbuhoi	919	0.0001%	287	0.00004%	1206
p-glkg	643	0.0001%	287	0.00004%	930
s-p�hk1er	439	0.0001%	287	0.00004%	726
ab-pco2-vt	570	0.0001%	286	0.00004%	856
b-keto	122	0.0000%	286	0.00004%	408
s-echiab	154	0.0000%	285	0.00004%	439
ue-retik	208	0.0000%	283	0.00004%	491
hcgbvkmom*	348	0.0000%	282	0.00004%	630
s-muu-abe	221	0.0000%	282	0.00004%	503
pika-hb	12325	0.0016%	281	0.00004%	12606
fp-ph	6241	0.0008%	281	0.00004%	6522
pf-ly+mono	1324	0.0002%	281	0.00004%	1605
glukpika	11291	0.0015%	280	0.00004%	11571
l-basofiilit	5479	0.0007%	278	0.00004%	5757
vb-o2hb	3533	0.0005%	278	0.00004%	3811
b-ohbutm	2694	0.0003%	278	0.00004%	2972
l-basofiilit	829	0.0001%	278	0.00004%	1107
e-6-tgn	214	0.0000%	278	0.00004%	492
vb-to2c	3478	0.0004%	277	0.00004%	3755
s-gh	1703	0.0002%	277	0.00004%	1980
pd-eryt	1079	0.0001%	277	0.00004%	1356
s-tocaab	227	0.0000%	276	0.00004%	503
s-ch100cl	5646	0.0007%	275	0.00004%	5921
s-hcgbsuh	101	0.0000%	275	0.00004%	376
sy-leukmuu	3914	0.0005%	274	0.00004%	4188
u-gran	1695	0.0002%	274	0.00004%	1969
du-kors-v	7154	0.0009%	272	0.00004%	7426
ns-eosoik	168	0.0000%	272	0.00004%	440
ns-eosvas	168	0.0000%	272	0.00004%	440
ab-ca++	8663	0.0011%	271	0.00003%	8934
u-kreahuu	2814	0.0004%	271	0.00003%	3085
(pikahb)	2211	0.0003%	269	0.00003%	2480
s-kopept	2143	0.0003%	269	0.00003%	2412
munanvalku	734	0.0001%	268	0.00003%	1002
ns-neutoik	168	0.0000%	268	0.00003%	436
ns-neutvas	168	0.0000%	268	0.00003%	436
ab-caionvt	374	0.0000%	266	0.00003%	640
p-fvii	6821	0.0009%	265	0.00003%	7086
s-lehmhie	691	0.0001%	265	0.00003%	956
b-mkvan	582	0.0001%	265	0.00003%	847
s-pennote	147	0.0000%	265	0.00003%	412
u-väliepi	2667	0.0003%	263	0.00003%	2930
u-cl	982	0.0001%	263	0.00003%	1245
s-ch100al	5615	0.0007%	262	0.00003%	5877
s-stroab	570	0.0001%	262	0.00003%	832
s-parapek	113	0.0000%	262	0.00003%	375
ub-retik	128	0.0000%	261	0.00003%	389
pt-gluk-2h	12344	0.0016%	260	0.00003%	12604
s-pekpähe	501	0.0001%	260	0.00003%	761
s-karba	21282	0.0027%	259	0.00003%	21541
fp-folaat	10276	0.0013%	259	0.00003%	10535
s-micfaeg	226	0.0000%	258	0.00003%	484
s-pensppe	729	0.0001%	257	0.00003%	986
s-asat	104490	0.0135%	256	0.00003%	104746
b-probnp	5381	0.0007%	256	0.00003%	5637
hbpika	10273	0.0013%	255	0.00003%	10528
-dmriski	406	0.0001%	254	0.00003%	660
s-trspab	190	0.0000%	254	0.00003%	444
b-kim-fd	174	0.0000%	254	0.00003%	428
s-sakspäe	5326	0.0007%	253	0.00003%	5579
s-stpn8	344	0.0000%	253	0.00003%	597
b-tp53-d	146	0.0000%	253	0.00003%	399
s-schiaab	582	0.0001%	252	0.00003%	834
s-stpn2	354	0.0000%	252	0.00003%	606
p-gluk2h	2733	0.0004%	251	0.00003%	2984
s-cu	4225	0.0005%	250	0.00003%	4475
s-fascab	598	0.0001%	250	0.00003%	848
s-vilj3er	155	0.0000%	250	0.00003%	405
pt-gfreepi*	6804	0.0009%	249	0.00003%	7053
s-aspfumg	1932	0.0002%	249	0.00003%	2181
